County,State,Date,cumulative_cases,New.cases,Pop_Vacs,Pop_Vacs_Pct,svi,ses,hhc,rems,htt
Contra Costa County,CA,07/07/2021,72625,473,764756,66.3,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/14/2021,73349,724,772994,67,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/21/2021,74614,1265,780298,67.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,07/28/2021,76763,2149,789918,68.5,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/04/2021,79320,2557,799315,69.3,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/11/2021,81649,2329,810787,70.3,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/18/2021,84198,2549,820293,71.1,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,08/25/2021,86748,2550,827191,71.7,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/01/2021,91373,4625,837465,72.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/08/2021,93048,1675,842422,73,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/15/2021,94743,1695,848704,73.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/22/2021,96075,1332,855841,74.2,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,09/29/2021,97151,1076,864240,74.9,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/06/2021,98183,1032,872208,75.6,0.1754,0.1228,0.4912,0.6316,0.1228
Contra Costa County,CA,10/13/2021,99010,827,879081,76.2,0.1754,0.1228,0.4912,0.6316,0.1228
